id,sentence_pt,reference_en,seamless_translation,latency_sec
common_voice_pt_19670183,Essas pílulas fazem menos bem que outras.,These pills are more harmful than others.,These pills do less good than others.,1.4105548858642578
common_voice_pt_19670184,Por que a sarjeta cobre a rodada?,Why is the ditch covering the space?,Why does the copper plate roll?,1.1095530986785889
common_voice_pt_19670187,Uma pessoa flutua na água perto de pedras e uma cachoeira.,A person floats in the water near the rocks and the waterfall.,A person floats in the water near stones and a waterfall.,1.7244148254394531
common_voice_pt_19584434,Meu cachorro late quando estranhos chegam.,My dog barks when strangers arrive.,My dog barks when strangers arrive.,1.696669101715088
common_voice_pt_19584438,Uma mulher cava uma tigela de comida e a come.,A woman prepares a bowl of food and eats it.,A woman digs a bowl of food and eats it.,1.565828800201416
common_voice_pt_19584436,"Desculpe, o período de teste expirou.","Sorry, the trial period has expired.","Sorry, the test period has expired.",1.1181511878967285
common_voice_pt_19854693,Eu gostaria de ver O Coração de uma Sereia no meu cinema,I would like to watch The Heart of a Mermaid at the cinema.,I would like to see the heart of a mermaid in my cinema,1.3244388103485107
common_voice_pt_19854690,Pessoas andando pela calçada ao lado de uma linha de lojas.,People walking on the sidewalk next to several stores.,People walking on the sidewalk next to a line of shops.,1.6756572723388672
common_voice_pt_19854691,Papai está com problemas?,Is daddy in trouble?,Is Dad in trouble?,0.9630095958709717
common_voice_pt_19854692,Um garoto com uma bola de basquete.,A boy with a basketball.,A boy with a basketball.,1.0088653564453125
common_voice_pt_19568138,Nem isso foi tudo.,That wasn't all.,That wasn't all.,1.0388624668121338
common_voice_pt_19568139,Jovens garotas estão dançando.,Young girls are dancing.,Young girls are dancing.,0.8363451957702637
common_voice_pt_19568140,Homem coloca ordem na cafeteria.,A man organizes the coffee shop.,Man puts order in the cafeteria.,1.0689902305603027
common_voice_pt_19568137,"É bem simples, não é?","It's quite simple, isn't it?","It's very simple, isn't it?",1.0991718769073486
common_voice_pt_19452404,Eu sei tudo no país.,I know everything in the country.,I know everything in the country.,1.0378632545471191
common_voice_pt_19452403,Vinte mil dólares por ano?,Twenty thousand dollars a year?,Twenty thousand dollars a year?,0.933173656463623
common_voice_pt_19452402,O desespero é algo que nos assombra à noite.,Anxiety is something that haunts us at night.,Despair is something that haunts us at night.,1.3326685428619385
common_voice_pt_19452406,A jaqueta tinha um propósito? e o menino também.,Did the jacket have a purpose? the boy had too.,The jacket had a purpose? And the boy too.,1.9808428287506104
common_voice_pt_19511298,Podemos planejar fazer isso na terça-feira?,Can we manage to do that on Tuesday?,Can we plan to do this on Tuesday?,1.0973858833312988
common_voice_pt_19511300,Sabedoria e inteligência são duas coisas muito separadas.,Wisdom and intelligence are two different things.,Wisdom and intelligence are two very different things.,1.451772689819336
common_voice_pt_19511299,Ele não fez isso.,He didn't do that.,He didnt do that.,1.586228609085083
common_voice_pt_19511297,Isso cobre o básico.,This covers the basics.,That covers the basics.,1.3412249088287354
common_voice_pt_19699505,Apenas a poucos metros há uma estação de ônibus.,There is a bus stop a few meters away.,Just a few meters away there is a bus station.,1.4323244094848633
common_voice_pt_19699506,Um par que beija na frente de um cais dianteiro da baía.,A couple is kissing at the Bayfront pier.,A couple kissing in front of a front dock in the bay.,1.3384416103363037
common_voice_pt_19699511,Uma mulher que está sorrindo está usando um enfeite de cabeça único,A woman who is smiling is wearing a unique headdress.,A woman who is smiling is wearing a unique headdress.,1.4909172058105469
common_voice_pt_19699503,lugar lindo à noite,Beautiful place at night.,Beautiful place at night,1.5193331241607666
common_voice_pt_19324748,Uma criança está olhando pelo visor de uma câmera.,A child is looking through the viewfinder of a camera.,A child is looking through the viewfinder of a camera.,1.3681974411010742
common_voice_pt_19324747,Foi apenas certo.,It was just right.,Did I get a penny?,0.8477816581726074
common_voice_pt_19324750,Ouvi dizer que ganhei muito na porta ao lado.,I have heard in the next door that I won.,I heard that I won a lot at the door next door.,1.3499641418457031
common_voice_pt_19324749,Um ciclista passa por uma rampa de terra e pega um pouco de ar,A cyclist rides through a dirt ramp and gets some air.,A cyclist passes a dirt ramp and takes a little air.,1.582824945449829
common_voice_pt_19965613,Um menino loiro está de pé por uma cerca.,A blond boy is standing by a fence.,A blond boy is standing by a fence.,1.408158779144287
common_voice_pt_19965612,Grande grupo de pessoas sentadas na tenda branca.,A large group of people sitting in the white tent.,A large group of people sitting in the white tent.,2.1144344806671143
common_voice_pt_19435022,Ativar legendas.,Enable subtitles.,Activate the legends,4.999513864517212
common_voice_pt_19435020,O moço pediu duas águas de coco,The man asked for two ... of coconut water.,The young man asked for two coconut water.,4.334125280380249
common_voice_pt_19435015,Uma banda se apresenta em um palco.,A band performs on stage.,A band performs on a stage.,3.5448036193847656
common_voice_pt_19435023,Está quente no local atual?,Is it hot in the current location?,Is it hot in the current location?,3.624230146408081
common_voice_pt_19702535,reservar um restaurante na Geórgia,Book a restaurant in Georgia.,book a restaurant in Georgia,3.108804702758789
common_voice_pt_19702537,Recite o horário do filme.,Recite the movie time.,Reset the movie schedule.,4.088252067565918
common_voice_pt_19702536,Uma criança está desfrutando de uma bebida no supermercado.,A child is enjoying a drink at the supermarket.,A child is enjoying a drink in the supermarket.,4.506720781326294
common_voice_pt_19702534,Mister Robinson chegará a tempo.,Mister Robinson will be on time.,Mr. Robinson will arrive on time.,3.8690314292907715
common_voice_pt_19555555,Quarenta e dois não é um número aleatório.,Forty-two is not a random number.,Forty-two is not a random number.,4.069110631942749
common_voice_pt_19555556,um cachorro corre pela grama.,A dog runs across the grass.,A dog runs through the grass.,3.1362578868865967
common_voice_pt_19555557,Eu queimei a omelete.,I burned the omelet.,I burned the omelet.,3.0015487670898438
common_voice_pt_19555558,O cachorro marrom está correndo em direção a um tubo azul e amarelo,The brown dog is running towards a blue and yellow tube.,The brown dog is running towards a blue and yellow tube.,4.530269145965576
common_voice_pt_19661822,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca.,A woman in a blue shirt and black pants is straightening her white sock.,A woman in a blue shirt and black pants is fixing her white sock.,5.775087356567383
common_voice_pt_19661825,Uma criança brincando com bolhas e andando.,A child is walking and playing with bubbles.,A child playing with bubbles and walking.,4.0744428634643555
common_voice_pt_19661828,As pessoas estão passeando em um mercado,People are strolling in a market.,People are walking in a market.,3.5964086055755615
common_voice_pt_19661831,"Um homem mais velho em uma jaqueta preta, olhando para baixo",An old man in a black jacket is looking down.,An older man in a black jacket looking down.,4.376323938369751
common_voice_pt_19315730,Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola.,Two young soccer players wearing blue and yellow uniforms fight for the ball.,Two young football players wearing blue and yellow uniforms fight for the ball.,5.581505298614502
common_voice_pt_19315733,"A bússola apontava, como sempre para o norte","The compass pointed, as always, to the north.","The compass pointed, as always, to the north.",4.383068561553955
common_voice_pt_19315732,Você deixou de fora o número cinco.,You didn't include the number five.,You left out number five.,2.7292776107788086
common_voice_pt_19315731,O tráfego era enorme.,The place was busy.,The traffic was huge.,2.556485652923584
common_voice_pt_19401440,Recuou para o buraco.,Moved back to the hole.,He retreated to the hole,3.172940731048584
common_voice_pt_19401441,Um lance forte pode assustar seu parceiro.,A strong decision can scare your partner.,A strong throw can scare your partner.,3.3796169757843018
common_voice_pt_19401442,Eu deveria dizer não!,I should say no!,I should say no.,8.69666576385498
common_voice_pt_19401443,Você vai me perguntar o que?,What are you going to ask?,You're gonna ask me what?,1.7071630954742432
common_voice_pt_20112985,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul.,Is it a woman in dark glasses walking down the street? Carrying a blue bag?,A woman with dark glasses walks down the street carrying a blue bag.,72.48207521438599
common_voice_pt_20104660,Como foi a comida lá?,How was the food there?,How was the food there?,1.3040378093719482
common_voice_pt_20104658,Trabalhadores de escritório se divertindo.,Office workers having fun.,Office workers having fun.,2.0579020977020264
common_voice_pt_19401161,Onde você esteve esta tarde?,Where have you been during this afternoon?,Where were you this afternoon?,2.6494791507720947
common_voice_pt_19401164,Fevereiro não deixa carneiro ou cordeiro.,February takes everything away.,"February, don't leave a lamb or a lamb.",1.946925163269043
common_voice_pt_19401162,Vocês dois se sentam aqui.,"You two, sit here.",You two sit here.,1.2571861743927002
common_voice_pt_19401163,E você não pode libertá-lo?,Can't you free him?,And you can't free him?,1.4001834392547607
common_voice_pt_19778551,"Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.","Sooner or later, they will discover how to read these hieroglyphs.","Sooner or later, they discovered how to read these hyphenated letters.",3.0243711471557617
common_voice_pt_19778553,Família reunida em uma casa desfrutando de companhia,The family is together at home enjoying each other's company.,Family gathered in a house enjoying company.,1.8819751739501953
common_voice_pt_19778554,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada.,People stand outside watching the motorcycles driving down the road.,People stand outside watching motorcyclists being driven down a road.,3.005113124847412
common_voice_pt_19778552,Você não gostaria de matar ninguém.,You wouldn't like to kill anyone.,You wouldn't want to kill anyone.,1.651902675628662
common_voice_pt_20017617,"Correndo cavalo, lápide grave.","Horse running, grave headstone.",Running a serious rocking horse,1.5155186653137207
common_voice_pt_20017611,Muito dinheiro.,A lot of money.,A lot of money.,2.0488882064819336
common_voice_pt_20017608,Uma criança nova que joga com seus trens do brinquedo.,A young child that plays with his toy trains.,A young child playing with his toy trains.,1.8608663082122803
common_voice_pt_20017614,Eu peguei um número e encontrei meu lugar.,I took a number and found my place.,I got a number and found my place.,1.6200973987579346
common_voice_pt_19273358,Estamos aqui para pedir emprestado,We are here to ask to borrow it.,We are here to borrow.,2.240434408187866
common_voice_pt_19273359,Graças a Deus você está aqui!,Thank God you're here!,Thank God you're here!,1.3524420261383057
common_voice_pt_19273360,Precisamos nos apressar.,We have to hurry up.,We need to hurry.,1.2851312160491943
common_voice_pt_19273362,A necessidade é o pai na inovação.,Necessity is innovation's father.,Necessity is the father of innovation.,1.549032211303711
common_voice_pt_19648428,Vou mandar alguns e-mails para minha família.,I will send some emails to my family.,I'm going to send some e-mails to my family.,2.199726104736328
common_voice_pt_19648427,Uma menina pendura de cabeça para baixo em um balanço em um parque,A girl hangs upside down on a swing at a park.,A girl hangs upside down on a swing in a park.,2.2164146900177
common_voice_pt_19648425,Cavaleiro da bicicleta pulando obstáculos.,Mountain bike rider jumping over obstacles.,A bicycle rider jumping over obstacles.,1.8145039081573486
common_voice_pt_19648424,Ele não pôde evitar.,He couldn't avoid it.,She couldnt help it.,1.6077189445495605
common_voice_pt_19959809,É comum os usuários confundirem software livre com software livre.,It's common for users to confuse free software with paid software.,It is common for users to confuse free software with free software.,2.8407962322235107
common_voice_pt_19959810,"Na indicação do testador, a tentativa será concluída.","At the tester's appointment, the attempt will be completed.","At the tester's suggestion, the attempt will be completed.",2.4271538257598877
common_voice_pt_19959812,Três homens estão na praia? totalmente vestidos.,Are three fully dressed men on the beach?,Three men are on the beach? Totally dressed.,1.9997878074645996
common_voice_pt_19959811,Um rastreador vibrante caminha por uma trilha panorâmica.,A vibrant tracker tracks along a scenic trail.,A vibrant tracker walks along a panoramic trail.,2.0092828273773193
common_voice_pt_19639049,Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local,Some Japanese people enjoy fireworks shows on a local street.,Some Japanese enjoy fireworks shows on a local street.,2.125237226486206
common_voice_pt_19639043,A expressão facial autêntica do ator estava convencendo o júri.,The actor's authentic facial expression was convincing the jury.,The actor's authentic facial expression was convincing the jury.,2.283926486968994
common_voice_pt_19639050,Algumas pessoas estão examinando vinhos em uma mesa.,Some people are tasting wines at the table.,Some people are examining the wines on a table.,1.9630191326141357
common_voice_pt_19639046,Você sabe onde eu moro.,You know where I live.,You know where I live.,2.175224542617798
common_voice_pt_20069405,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas.,A mason works to construct a beam while the other workers place the beams.,A porter works to hold a beam in place while other workers place beams.,2.8574976921081543
common_voice_pt_20069404,Todos riram,Everyone laughed.,Everyone laughed,1.2575585842132568
common_voice_pt_20069402,Um cão marrom muito molhado está emergindo da água.,A very wet brown dog is coming out of the water.,A very wet brown dog is emerging from the water.,1.8914506435394287
common_voice_pt_19284418,Trezentos e quarenta e duas pessoas foram convidadas.,Three hundred and forty-two people were invited.,Three hundred and forty-two people were convicted.,1.9931352138519287
common_voice_pt_19284419,Venha antes do tempo acordado,Come early than the agreed time.,Come before the appointed time.,1.3405303955078125
common_voice_pt_19284416,Nenhuma interrupção até hoje,No interruption to date.,No interruption until today,1.9905815124511719
common_voice_pt_19284417,"""Vamos parar este?"", disse outro comandante.","""Shall we stop this one?"", another commander said.","""Let's go to this one?"" said another commander.",1.9072906970977783
common_voice_pt_19457260,Um homem de camisa branca fuma enquanto dá instruções.,A man in a white shirt smokes while giving instructions.,A man in a white shirt smokes while giving instructions.,1.9338111877441406
common_voice_pt_19457256,As pessoas estão do lado de fora de um edifício perto de uma rua.,People are outside a building next to the street.,People are outside a building near a street.,2.30045747756958
common_voice_pt_19457257,Nenhum estudioso se atreve a dizer que está certo.,No thinker dares to say they are right.,No scholar dares to say that it is right.,1.8580985069274902
common_voice_pt_19457259,Eu fico mais chutando dessa maneira.,I kick more like that.,I get more kicking this way.,2.291325569152832
common_voice_pt_19312912,Ficando um monte de coisas erradas,A lot of things are getting wrong.,Getting a lot of things wrong.,1.448760747909546
common_voice_pt_19312910,Eu vou falar com você hoje a noite.,I will talk with you tonight.,I'll talk to you tonight.,1.5653958320617676
common_voice_pt_19312908,Essa mulher é bonita.,This woman is beautiful.,That woman is beautiful.,1.9574527740478516
common_voice_pt_19312911,Notarização,Notarization.,Notary,1.0783624649047852
common_voice_pt_19426603,Donald Trump e Barack Obama não são bons amigos.,Donald Trump and Barack Obama are not good friends.,Donald Trump and Barack Obama are not good friends.,1.8878743648529053
common_voice_pt_19426605,O mesmo livro que me ensinou sobre Urim e Tumim.,The same book that taught me about Urim and Tumim.,The same book that taught me about Urim and Thummim.,2.826007843017578
common_voice_pt_19426606,Subindo para ver Erin.,Going up to see Erin.,Going up to see Erin.,1.1748261451721191
common_voice_pt_19426602,Várias pessoas estão colhendo culturas em um mercado urbano.,Several people are harvesting in an urban market.,Several people are harvesting crops in an urban market.,2.2499470710754395
common_voice_pt_19401514,Um grupo de mulheres cantando juntas.,A group of women singing together.,A group of women singing together.,1.5569000244140625
common_voice_pt_19401511,A girafa ficou com medo.,The giraffe was afraid.,The giraffe bites the net.,1.556692123413086
common_voice_pt_19401512,Ela retraiu sua declaração.,She retracted her statement.,Or the heat of the Claressa studio.,1.5753467082977295
common_voice_pt_19401513,"Era?, no entanto? ainda estava tão quente de seu voo pelo ar.",Was it? So what? it’s still far away by his air flight.,"It was, however, still so hot that it was blown through the air.",2.9325642585754395
common_voice_pt_19350528,"Já conhecemos?, mas seria bom vê-lo novamente.","Do we know each other? Anyways, it would be nice to see you again.","We've met before, but it would be nice to see him again.",2.0515167713165283
common_voice_pt_19350527,Mas use-os para comprar seu rebanho.,But use them to buy your flock.,But use them to buy your livestock.,1.547595739364624
common_voice_pt_19350526,Invadir o Yuan Legislativo,To invade the Legislative Yuan.,"I'm sorry, but you're not going to make it.",2.049403429031372
common_voice_pt_19350525,Um jovem está carregando algo em um grande saco de lixo de plástico preto.,A young man is carrying something in a large black plastic trash bag.,A young man is carrying something in big black plastic garbage bags.,4.275488376617432
common_voice_pt_19451742,Não.,No.,"No, please.",4.526159048080444
common_voice_pt_19451741,Sua ansiedade explodiu.,His anxiety took over.,His anxiety exploded.,4.08152174949646
common_voice_pt_19451740,"Se você enfrentasse esses valores discrepantes, isso reduziria os artefatos.","If you compared the outliers, it would reduce the number of artefactual results.","If you were to face these discrepancy values, it would reduce the artifacts.",7.134998321533203
common_voice_pt_19451739,Quatro homens grandes estão comendo juntos no que parece ser um concurso de comida.,Four huge men are eating together in what looks like a food contest.,Four big men are eating together in what looks like a food contest.,5.508102893829346
common_voice_pt_19451738,Quase dá a ele a sensação de que ele não era desejado.,It almost gives him the feeling that he was not desired.,It almost gives him the feeling that he was not wanted.,4.762573719024658
common_voice_pt_19401585,A avaliação deve ser estendida para outros conjuntos de dados.,The assessment should be extended to other data sets.,The evaluation should be extended to other data sets.,4.433118581771851
common_voice_pt_19401581,A velha panela estava coberta de calda dura.,The old pan was totally dirty.,The old pan was covered with hard tail.,4.232298374176025
common_voice_pt_19401582,Ele alugou um flat.,He rented a flat.,He rented a flat.,2.929929256439209
common_voice_pt_19401583,Homem toca guitarra para bebezinho.,Man plays guitar for a little baby.,Man plays guitar for baby.,2.9264652729034424
common_voice_pt_19401584,Uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira.,A mother and son walk together while the son carries a flag.,A mother and a son walk together while the son carries a flag.,5.207652807235718
common_voice_pt_19857554,"Uma mulher está pagando por uma compra, enquanto outras duas mulheres olham para revistas.","One woman is paying for a purchase, while two other women look at magazines.",A woman is paying for a purchase while two other women look at magazines.,6.316393136978149
common_voice_pt_19857555,Aguarde o sinal!,Wait for the signal!,Wait for the signal!,3.2356691360473633
common_voice_pt_19857556,Existem quatro tipos diferentes de combustível neste posto de gasolina.,There are four different types of fuel at this gas station.,There are four different types of fuel in this gasoline bag.,4.823352098464966
common_voice_pt_19857557,Um homem está lendo um jornal em um trem ou ônibus.,A man is reading a newspaper on a train or bus.,A man is reading a newspaper on a train or bus.,4.635321617126465
common_voice_pt_19857558,Quatro pessoas balançando em um balanço.,Four people swinging on a swing.,Four people swinging on a swing.,3.6034443378448486
common_voice_pt_19555333,As vacinas podem fornecer alguma proteção durante a temporada de gripe.,Vaccines can provide some protection during the flu season.,Vaccines can provide some protection during the flu season.,4.99421763420105
common_voice_pt_19555332,Você planejou sua atividade de fim de semana ainda?,Did you plan your weekend activity?,Have you planned your weekend activity yet?,3.063230514526367
common_voice_pt_19555329,Um grupo de pessoas está próximo a um pequeno vendedor ambulante.,A group of people is next to a street vendor.,A group of people is near a small street vendor.,3.747684955596924
common_voice_pt_19555330,Um jovem rapaz de camisa vermelha entra em uma rua de terra.,A young boy in red shirt walks down a dirt street.,A young boy in a red shirt enters a dirt street.,4.055879354476929
common_voice_pt_19399912,Uma criança está usando uma máscara de snorkel amarela em um banho de espuma,A child is wearing a yellow snorkel mask in a bubble bath.,A child is wearing a yellow snorkel mask in a foam bath,4.111621618270874
common_voice_pt_19399911,Ela é acusada de roubar um relógio.,She is accused of stealing a watch.,She is accused of stealing a watch.,57.34033989906311
common_voice_pt_19399910,Minha esposa vai ficar comigo a qualquer momento.,My wife will be with me at anytime.,My wife will be with me any minute.,3.741286277770996
common_voice_pt_19399909,Ele não podia ajudá-lo.,He couldn't help it.,He couldn't help it.,1.493546724319458
common_voice_pt_19399908,O homem olhou para o anjo surpreso.,The surprised man looked at the angel.,The man looked at the surprised angel.,1.549264907836914
common_voice_pt_19401773,Meu professor sempre joga giz em suas pupilas? por isso estou usando um capacete.,Does my teacher always throw chalk on his eyes? That's why I'm wearing a helmet.,"My teacher always throws dice at his pupils, so I'm wearing helmets.",3.335108757019043
common_voice_pt_19401776,Essa é uma desvantagem inerente.,This is an inherent disadvantage.,This is an inherent disadvantage.,1.7380640506744385
common_voice_pt_19401777,Uma menina está bebendo de um bebedouro.,A girl is drinking from a water cooler.,A girl is drinking from a drinking bowl.,1.8517818450927734
common_voice_pt_19401774,Se não for explicado,If not explained.,If it wasn't explained,1.4301977157592773
common_voice_pt_19401775,Eu vou apostar.,I'll bet.,I'll bet you that.,2.2322824001312256
common_voice_pt_19957625,Encontre o calendário para um beijo antes de morrer.,Find the calendar for a kiss before you die.,Find the calendar for a kiss before you die.,2.6215102672576904
common_voice_pt_19957629,As três garotas estão sentadas no set.,The three girls are sitting on the set.,The three girls are sitting on the set.,2.268463373184204
common_voice_pt_19957626,Você sabe,You know.,You know,1.2675814628601074
common_voice_pt_19957628,O medo mantém a vinha.,The fear kept her alive.,Fear keeps the vine.,1.4907200336456299
common_voice_pt_19957627,Mas eu não tenho isso.,But I don't have that.,But I dont have that.,1.5395169258117676
common_voice_pt_20009469,adicionar o álbum de bernd begemann à minha lista de reprodução da minha vida,Add Bernd Begemann's album to the playlist of my life.,Adding Bernard Begemann's album to my playlist of my life,6.059049367904663
common_voice_pt_20009471,Mas há também uma razão social.,But there is also a social reason.,But there is also a social reason.,3.423833131790161
common_voice_pt_20009468,Uma jovem está vendendo brinquedos estranhos e frutas ao lado de uma rua.,A young woman is selling weird toys and fruits alongside the street.,A young man is selling strange toys and fruit by a street.,8.246970176696777
common_voice_pt_20009466,Um close de uma menina em um balanço.,A close-up of a girl on a swing.,A girls closet on a swing.,3.8874542713165283
common_voice_pt_20009467,"Ele não era um trabalhador, mas ele tinha seu sangue.","He was not a worker, but he had his blood.","He wasn't a worker, but he had his blood.",5.7216691970825195
common_voice_pt_19777632,Um empregado limpa mesas em um restaurante.,An employee cleans tables in a restaurant.,An employee cleans tables in a restaurant.,4.057260513305664
common_voice_pt_19777629,Quando o nosso avião decola novamente?,When does our plane take off again?,When will our plane take off again?,3.6870276927948
common_voice_pt_19777633,uma fila esperando para entrar em um filme,A queue waiting to get to watch a movie.,A line waiting to enter a movie.,2.3125998973846436
common_voice_pt_19777630,"Uau, olha o quão profundo é esse canyon!","Wow, look how deep is this canyon!","Wow, look how deep this canyon is!",0.8350200653076172
common_voice_pt_19777631,Um homem em uma máscara na parte de trás de um veículo de serviço,A man in a mask in the back of a service vehicle.,A man in a mask in the back of a service vehicle,0.8883335590362549
common_voice_pt_19787425,Um homem se senta e lê o jornal em um tapete de lavanderia.,A man sits and reads the newspaper on a laundry rug.,A man sits and reads the newspaper on a laundry carpet.,1.0532848834991455
common_voice_pt_19787424,Uma pessoa em um longo corredor está andando,A person is walking in a long corridor.,A person in a long corridor is walking.,0.8088693618774414
common_voice_pt_19787421,O lançamento aéreo da bomba atômica em Hiroshima teve implicações devastadoras.,The atomic bomb aerial launch in Hiroshima had devastating implications.,The aerial launch of the atomic bomb in Hiroshima had devastating implications.,1.049037218093872
common_voice_pt_19787423,O tronco de uma estátua.,The trunk of a statue.,The trunk of a statue.,0.6358263492584229
