id,sentence_pt,reference_en,canary_translation,latency_sec
common_voice_pt_19511298,Podemos planejar fazer isso na terça-feira?,Can we manage to do that on Tuesday?,We can plan to do that on Tuesday.,0.34752559661865234
common_voice_pt_19511300,Sabedoria e inteligência são duas coisas muito separadas.,Wisdom and intelligence are two different things.,Wisdom and intelligence are two very separate things.,0.41262078285217285
common_voice_pt_19511299,Ele não fez isso.,He didn't do that.,He didn't do that.,0.29894399642944336
common_voice_pt_19511297,Isso cobre o básico.,This covers the basics.,That covers the basics.,0.3051905632019043
common_voice_pt_19699505,Apenas a poucos metros há uma estação de ônibus.,There is a bus stop a few meters away.,Just a few meters away there is a bus station.,0.41340017318725586
common_voice_pt_19699506,Um par que beija na frente de um cais dianteiro da baía.,A couple is kissing at the Bayfront pier.,A park kisses in front of a coach in front of the bay.,0.5147092342376709
common_voice_pt_19699511,Uma mulher que está sorrindo está usando um enfeite de cabeça único,A woman who is smiling is wearing a unique headdress.,A smiling woman is wearing a single head decoration.,0.44951558113098145
common_voice_pt_19699503,lugar lindo à noite,Beautiful place at night.,"A beautiful place to sleep, nights.",0.3616156578063965
common_voice_pt_19324748,Uma criança está olhando pelo visor de uma câmera.,A child is looking through the viewfinder of a camera.,A child is looking through a camera's view.,0.3860936164855957
common_voice_pt_19324747,Foi apenas certo.,It was just right.,It was just right.,0.2910482883453369
common_voice_pt_19324750,Ouvi dizer que ganhei muito na porta ao lado.,I have heard in the next door that I won.,I heard that I gained a lot at the door next door.,0.4855356216430664
common_voice_pt_19324749,Um ciclista passa por uma rampa de terra e pega um pouco de ar,A cyclist rides through a dirt ramp and gets some air.,A cyclist passes through a landslide and catches some air.,0.3180685043334961
common_voice_pt_19965613,Um menino loiro está de pé por uma cerca.,A blond boy is standing by a fence.,A blonde boy is standing by a fence.,0.2796967029571533
common_voice_pt_19965612,Grande grupo de pessoas sentadas na tenda branca.,A large group of people sitting in the white tent.,A big group of people sitting in the white tent.,0.2710573673248291
common_voice_pt_19435022,Ativar legendas.,Enable subtitles.,Activate subtitles.,0.21148204803466797
common_voice_pt_19435020,O moço pediu duas águas de coco,The man asked for two ... of coconut water.,The boy asked for two cups of coconut water.,0.2840266227722168
common_voice_pt_19435015,Uma banda se apresenta em um palco.,A band performs on stage.,A band presents on stage.,0.24070167541503906
common_voice_pt_19435023,Está quente no local atual?,Is it hot in the current location?,Is it hot in the athlete's place?,0.2921600341796875
common_voice_pt_19702535,reservar um restaurante na Geórgia,Book a restaurant in Georgia.,He is a small restaurant in Georgia.,0.24251604080200195
common_voice_pt_19702537,Recite o horário do filme.,Recite the movie time.,It is the time of the river.,0.22736811637878418
common_voice_pt_19702536,Uma criança está desfrutando de uma bebida no supermercado.,A child is enjoying a drink at the supermarket.,A child is enjoying a drink in the supermarket.,0.326246976852417
common_voice_pt_19702534,Mister Robinson chegará a tempo.,Mister Robinson will be on time.,Mr. Robinson will arrive on time.,0.252216100692749
common_voice_pt_19555555,Quarenta e dois não é um número aleatório.,Forty-two is not a random number.,Forty-two is not a random number.,0.2693750858306885
common_voice_pt_19555556,um cachorro corre pela grama.,A dog runs across the grass.,A dog runs through the grass.,0.22211980819702148
common_voice_pt_19555557,Eu queimei a omelete.,I burned the omelet.,I burned a milk.,0.24325799942016602
common_voice_pt_19555558,O cachorro marrom está correndo em direção a um tubo azul e amarelo,The brown dog is running towards a blue and yellow tube.,The brown dog is running towards the blue and yellow tube.,0.3397364616394043
common_voice_pt_19661822,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca.,A woman in a blue shirt and black pants is straightening her white sock.,A woman in a blue shirt and black pants is fixing her white sock.,0.371351957321167
common_voice_pt_19661825,Uma criança brincando com bolhas e andando.,A child is walking and playing with bubbles.,A child playing with bubbles and walking.,0.28566479682922363
common_voice_pt_19661828,As pessoas estão passeando em um mercado,People are strolling in a market.,People are walking in a market.,0.2307741641998291
common_voice_pt_19661831,"Um homem mais velho em uma jaqueta preta, olhando para baixo",An old man in a black jacket is looking down.,"An older man, wearing a black jacket, looking down.",0.3172140121459961
common_voice_pt_19315730,Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola.,Two young soccer players wearing blue and yellow uniforms fight for the ball.,Two young soccer players wearing blue and yellow uniforms are fighting for the ball.,0.46051502227783203
common_voice_pt_19315733,"A bússola apontava, como sempre para o norte","The compass pointed, as always, to the north.","The compass pointed, as always, to the north.",0.28450679779052734
common_voice_pt_19315732,Você deixou de fora o número cinco.,You didn't include the number five.,You left out number five.,0.2028369903564453
common_voice_pt_19315731,O tráfego era enorme.,The place was busy.,The traffic was huge.,0.21316838264465332
common_voice_pt_19401440,Recuou para o buraco.,Moved back to the hole.,He stepped back to the hole.,0.22174549102783203
common_voice_pt_19401441,Um lance forte pode assustar seu parceiro.,A strong decision can scare your partner.,A strong throw can scare your partner.,0.2559804916381836
common_voice_pt_19401442,Eu deveria dizer não!,I should say no!,I should say no.,0.1819155216217041
common_voice_pt_19401443,Você vai me perguntar o que?,What are you going to ask?,What are you going to ask me?,0.22155499458312988
common_voice_pt_20112985,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul.,Is it a woman in dark glasses walking down the street? Carrying a blue bag?,A woman with dark glasses walks down the street carrying a blue bag.,0.3816392421722412
common_voice_pt_20104660,Como foi a comida lá?,How was the food there?,How was the food there?,0.21092677116394043
common_voice_pt_20104658,Trabalhadores de escritório se divertindo.,Office workers having fun.,Workers and office workers were having fun.,0.28043556213378906
common_voice_pt_19401161,Onde você esteve esta tarde?,Where have you been during this afternoon?,Where were you this afternoon?,0.24035263061523438
common_voice_pt_19401164,Fevereiro não deixa carneiro ou cordeiro.,February takes everything away.,February leaves no lamb.,0.24954700469970703
common_voice_pt_19401162,Vocês dois se sentam aqui.,"You two, sit here.",You two sit here.,0.1882331371307373
common_voice_pt_19401163,E você não pode libertá-lo?,Can't you free him?,And can you not release him?,0.21455812454223633
common_voice_pt_19778551,"Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.","Sooner or later, they will discover how to read these hieroglyphs.",Sooner or later they discovered how to read these hydrophiles.,0.42518162727355957
common_voice_pt_19778553,Família reunida em uma casa desfrutando de companhia,The family is together at home enjoying each other's company.,Family gathered in a house enjoying company.,0.3397214412689209
common_voice_pt_19778554,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada.,People stand outside watching the motorcycles driving down the road.,People stand by and watch motorcyclists driving on a road.,0.4751582145690918
common_voice_pt_19778552,Você não gostaria de matar ninguém.,You wouldn't like to kill anyone.,You wouldn't want to kill anyone?,0.3352992534637451
common_voice_pt_20017617,"Correndo cavalo, lápide grave.","Horse running, grave headstone.","Running horse, gravedigger.",0.35233497619628906
common_voice_pt_20017611,Muito dinheiro.,A lot of money.,A lot of money.,0.27033042907714844
common_voice_pt_20017608,Uma criança nova que joga com seus trens do brinquedo.,A young child that plays with his toy trains.,A newborn child playing with their toy trains.,0.43387556076049805
common_voice_pt_20017614,Eu peguei um número e encontrei meu lugar.,I took a number and found my place.,I took a number and found my place.,0.3743417263031006
common_voice_pt_19273358,Estamos aqui para pedir emprestado,We are here to ask to borrow it.,We're here to borrow.,0.29645729064941406
common_voice_pt_19273359,Graças a Deus você está aqui!,Thank God you're here!,Thank God you are here.,0.28508448600769043
common_voice_pt_19273360,Precisamos nos apressar.,We have to hurry up.,We will jump again.,0.28309202194213867
common_voice_pt_19273362,A necessidade é o pai na inovação.,Necessity is innovation's father.,The need is the father of innovation.,0.3521761894226074
common_voice_pt_19648428,Vou mandar alguns e-mails para minha família.,I will send some emails to my family.,I'll send some emails to my family.,0.4327578544616699
common_voice_pt_19648427,Uma menina pendura de cabeça para baixo em um balanço em um parque,A girl hangs upside down on a swing at a park.,A girl hanging her head down on a swing in a park.,0.43776631355285645
common_voice_pt_19648425,Cavaleiro da bicicleta pulando obstáculos.,Mountain bike rider jumping over obstacles.,Bicycle riders jumping obstacles.,0.30150771141052246
common_voice_pt_19648424,Ele não pôde evitar.,He couldn't avoid it.,She couldn't help it.,0.22231245040893555
common_voice_pt_19959809,É comum os usuários confundirem software livre com software livre.,It's common for users to confuse free software with paid software.,Users often confuse free software with free software.,0.3877086639404297
common_voice_pt_19959810,"Na indicação do testador, a tentativa será concluída.","At the tester's appointment, the attempt will be completed.","With the test subject, the attempt will be concluded.",0.33722472190856934
common_voice_pt_19959812,Três homens estão na praia? totalmente vestidos.,Are three fully dressed men on the beach?,"Three men are on the beach, all dressed.",0.28097963333129883
common_voice_pt_19959811,Um rastreador vibrante caminha por uma trilha panorâmica.,A vibrant tracker tracks along a scenic trail.,A vibrant tracker walks on a panoramic path.,0.3229203224182129
common_voice_pt_19639049,Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local,Some Japanese people enjoy fireworks shows on a local street.,Some Japanese people enjoy artificial football games in a local street.,0.38092565536499023
common_voice_pt_19639043,A expressão facial autêntica do ator estava convencendo o júri.,The actor's authentic facial expression was convincing the jury.,The authentic facial expression of the doctor was convincing the jury.,0.37894153594970703
common_voice_pt_19639050,Algumas pessoas estão examinando vinhos em uma mesa.,Some people are tasting wines at the table.,Some people are examining wines on a table.,0.28624558448791504
common_voice_pt_19639046,Você sabe onde eu moro.,You know where I live.,You know where I live.,0.18627023696899414
common_voice_pt_20069405,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas.,A mason works to construct a beam while the other workers place the beams.,An importer works on folding a beam in place while other workers put beams.,0.3959994316101074
common_voice_pt_20069404,Todos riram,Everyone laughed.,Everyone saw.,0.16882014274597168
common_voice_pt_20069402,Um cão marrom muito molhado está emergindo da água.,A very wet brown dog is coming out of the water.,A very wet brown dog is emerging from the water.,0.32163047790527344
common_voice_pt_19284418,Trezentos e quarenta e duas pessoas foram convidadas.,Three hundred and forty-two people were invited.,The two are guaranteed by the persons of the original crime.,0.3147873878479004
common_voice_pt_19284419,Venha antes do tempo acordado,Come early than the agreed time.,Come before the awakened time.,0.22588396072387695
common_voice_pt_19284416,Nenhuma interrupção até hoje,No interruption to date.,No interruption to date.,0.21839261054992676
common_voice_pt_19284417,"""Vamos parar este?"", disse outro comandante.","""Shall we stop this one?"", another commander said.","Let's stop here, I said in a low voice.",0.30350565910339355
common_voice_pt_19457260,Um homem de camisa branca fuma enquanto dá instruções.,A man in a white shirt smokes while giving instructions.,A man in a white shirt smokes while giving instructions.,0.3304932117462158
common_voice_pt_19457256,As pessoas estão do lado de fora de um edifício perto de uma rua.,People are outside a building next to the street.,People are outside a building near a street.,0.28661656379699707
common_voice_pt_19457257,Nenhum estudioso se atreve a dizer que está certo.,No thinker dares to say they are right.,No scholar dares to say that it is right.,0.30616044998168945
common_voice_pt_19457259,Eu fico mais chutando dessa maneira.,I kick more like that.,I kiss more like this.,0.20440053939819336
common_voice_pt_19312912,Ficando um monte de coisas erradas,A lot of things are getting wrong.,A lot of things are going wrong.,0.26108527183532715
common_voice_pt_19312910,Eu vou falar com você hoje a noite.,I will talk with you tonight.,I'm going to talk to you tonight.,0.26498889923095703
common_voice_pt_19312908,Essa mulher é bonita.,This woman is beautiful.,This woman is beautiful.,0.20865440368652344
common_voice_pt_19312911,Notarização,Notarization.,"No, it's not.",0.22446012496948242
common_voice_pt_19426603,Donald Trump e Barack Obama não são bons amigos.,Donald Trump and Barack Obama are not good friends.,Donald Trump and Barack Obama are not good friends.,0.2862064838409424
common_voice_pt_19426605,O mesmo livro que me ensinou sobre Urim e Tumim.,The same book that taught me about Urim and Tumim.,The same book that taught me about Urim and Tumim.,0.31543660163879395
common_voice_pt_19426606,Subindo para ver Erin.,Going up to see Erin.,Going up to see Erin.,0.20431041717529297
common_voice_pt_19426602,Várias pessoas estão colhendo culturas em um mercado urbano.,Several people are harvesting in an urban market.,Several people are harvesting crops in an urban market.,0.36006879806518555
common_voice_pt_19401514,Um grupo de mulheres cantando juntas.,A group of women singing together.,A group of women singing together.,0.2372121810913086
common_voice_pt_19401511,A girafa ficou com medo.,The giraffe was afraid.,The giraffe was scared.,0.22911620140075684
common_voice_pt_19401512,Ela retraiu sua declaração.,She retracted her statement.,She withdrew her statement.,0.23281383514404297
common_voice_pt_19401513,"Era?, no entanto? ainda estava tão quente de seu voo pelo ar.",Was it? So what? it’s still far away by his air flight.,"However, it was still so hot that it blew through the air.",0.3157632350921631
common_voice_pt_19350528,"Já conhecemos?, mas seria bom vê-lo novamente.","Do we know each other? Anyways, it would be nice to see you again.","We already know, but it would be good to see him again.",0.2905614376068115
common_voice_pt_19350527,Mas use-os para comprar seu rebanho.,But use them to buy your flock.,More uses to buy your repair.,0.3580303192138672
common_voice_pt_19350526,Invadir o Yuan Legislativo,To invade the Legislative Yuan.,The party is a legislative body.,0.34081602096557617
common_voice_pt_19350525,Um jovem está carregando algo em um grande saco de lixo de plástico preto.,A young man is carrying something in a large black plastic trash bag.,"A young man is carrying something in great sacrifice, of plastic, of paper.",0.5065221786499023
common_voice_pt_19451742,Não.,No.,No!,0.20397496223449707
common_voice_pt_19451741,Sua ansiedade explodiu.,His anxiety took over.,Your anxiety exploded.,0.3958890438079834
common_voice_pt_19451740,"Se você enfrentasse esses valores discrepantes, isso reduziria os artefatos.","If you compared the outliers, it would reduce the number of artefactual results.","If you were to face these discrepancies, it would reduce the artifacts.",0.5515894889831543
common_voice_pt_19451739,Quatro homens grandes estão comendo juntos no que parece ser um concurso de comida.,Four huge men are eating together in what looks like a food contest.,Four big men are eating together in what seems to be a food competition.,0.5008106231689453
common_voice_pt_19451738,Quase dá a ele a sensação de que ele não era desejado.,It almost gives him the feeling that he was not desired.,It almost gives him the feeling that he wasn't wanted.,0.4117107391357422
common_voice_pt_19401585,A avaliação deve ser estendida para outros conjuntos de dados.,The assessment should be extended to other data sets.,The evaluation should be extended to other data sets.,0.542931318283081
common_voice_pt_19401581,A velha panela estava coberta de calda dura.,The old pan was totally dirty.,The old pot was covered with hard broth.,0.41748499870300293
common_voice_pt_19401582,Ele alugou um flat.,He rented a flat.,He rented a flight.,0.2248992919921875
common_voice_pt_19401583,Homem toca guitarra para bebezinho.,Man plays guitar for a little baby.,A man plays guitar for the baby.,0.2660541534423828
common_voice_pt_19401584,Uma mãe e um filho caminham juntos enquanto o filho carrega uma bandeira.,A mother and son walk together while the son carries a flag.,A mother and a son walk together while the son carries a flag.,0.3325839042663574
common_voice_pt_19857554,"Uma mulher está pagando por uma compra, enquanto outras duas mulheres olham para revistas.","One woman is paying for a purchase, while two other women look at magazines.",A woman is paying for a purchase while two other women are looking at magazines.,0.3933877944946289
common_voice_pt_19857555,Aguarde o sinal!,Wait for the signal!,Wait for the signal.,0.20811700820922852
common_voice_pt_19857556,Existem quatro tipos diferentes de combustível neste posto de gasolina.,There are four different types of fuel at this gas station.,There are four different types of fuel in this gas station.,0.3247487545013428
common_voice_pt_19857557,Um homem está lendo um jornal em um trem ou ônibus.,A man is reading a newspaper on a train or bus.,A man is reading a newspaper on a train or bus.,0.32904887199401855
common_voice_pt_19857558,Quatro pessoas balançando em um balanço.,Four people swinging on a swing.,Four people swinging on a balance.,0.24921441078186035
common_voice_pt_19555333,As vacinas podem fornecer alguma proteção durante a temporada de gripe.,Vaccines can provide some protection during the flu season.,The vaccines can provide some protection during the flu season.,0.3410794734954834
common_voice_pt_19555332,Você planejou sua atividade de fim de semana ainda?,Did you plan your weekend activity?,Have you planned your weekend activity yet?,0.3037276268005371
common_voice_pt_19555329,Um grupo de pessoas está próximo a um pequeno vendedor ambulante.,A group of people is next to a street vendor.,A group of people is close to a small street vendor.,0.32361483573913574
common_voice_pt_19555330,Um jovem rapaz de camisa vermelha entra em uma rua de terra.,A young boy in red shirt walks down a dirt street.,A young boy in a red shirt enters a dirty street.,0.35677385330200195
common_voice_pt_19399912,Uma criança está usando uma máscara de snorkel amarela em um banho de espuma,A child is wearing a yellow snorkel mask in a bubble bath.,A child is wearing a north or yellow mark in a foam bath.,0.36008620262145996
common_voice_pt_19399911,Ela é acusada de roubar um relógio.,She is accused of stealing a watch.,She is accused of stealing a watch.,0.2830390930175781
common_voice_pt_19399910,Minha esposa vai ficar comigo a qualquer momento.,My wife will be with me at anytime.,My wife will be with me any moment.,0.29003357887268066
common_voice_pt_19399909,Ele não podia ajudá-lo.,He couldn't help it.,He couldn't help her.,0.22506284713745117
common_voice_pt_19399908,O homem olhou para o anjo surpreso.,The surprised man looked at the angel.,The man looked at the angel surprised.,0.2802436351776123
common_voice_pt_19401773,Meu professor sempre joga giz em suas pupilas? por isso estou usando um capacete.,Does my teacher always throw chalk on his eyes? That's why I'm wearing a helmet.,"My teacher always plays games in his pupils, so I'm wearing helmets.",0.4113039970397949
common_voice_pt_19401776,Essa é uma desvantagem inerente.,This is an inherent disadvantage.,That is an inherent disadvantage.,0.28409695625305176
common_voice_pt_19401777,Uma menina está bebendo de um bebedouro.,A girl is drinking from a water cooler.,A boy is drinking a drink.,0.26163244247436523
common_voice_pt_19401774,Se não for explicado,If not explained.,If it wasn't explained.,0.25244903564453125
common_voice_pt_19401775,Eu vou apostar.,I'll bet.,I'm going to bet.,0.21665573120117188
common_voice_pt_19957625,Encontre o calendário para um beijo antes de morrer.,Find the calendar for a kiss before you die.,Find the calendar for a kiss before you die.,0.30951642990112305
common_voice_pt_19957629,As três garotas estão sentadas no set.,The three girls are sitting on the set.,The three girls are sitting in the sette.,0.2726321220397949
common_voice_pt_19957626,Você sabe,You know.,You know.,0.16452264785766602
common_voice_pt_19957628,O medo mantém a vinha.,The fear kept her alive.,Fear keeps the vineyard.,0.2806565761566162
common_voice_pt_19957627,Mas eu não tenho isso.,But I don't have that.,But I don't have that.,0.23575377464294434
common_voice_pt_20009469,adicionar o álbum de bernd begemann à minha lista de reprodução da minha vida,Add Bernd Begemann's album to the playlist of my life.,Add Benedict Benjamin's album to my playlist of my life.,0.3695802688598633
common_voice_pt_20009471,Mas há também uma razão social.,But there is also a social reason.,But there is also a social reason.,0.22744011878967285
common_voice_pt_20009468,Uma jovem está vendendo brinquedos estranhos e frutas ao lado de uma rua.,A young woman is selling weird toys and fruits alongside the street.,A young man is selling strange toys and fruits next to a street.,0.3532571792602539
common_voice_pt_20009466,Um close de uma menina em um balanço.,A close-up of a girl on a swing.,A girl's closet and a balance.,0.2681567668914795
common_voice_pt_20009467,"Ele não era um trabalhador, mas ele tinha seu sangue.","He was not a worker, but he had his blood.","He wasn't a worker, but he had his blood.",0.3093109130859375
common_voice_pt_19777632,Um empregado limpa mesas em um restaurante.,An employee cleans tables in a restaurant.,An employee cleans tables in a restaurant.,0.2851231098175049
common_voice_pt_19777629,Quando o nosso avião decola novamente?,When does our plane take off again?,When will our plane take off again?,0.32039690017700195
common_voice_pt_19777633,uma fila esperando para entrar em um filme,A queue waiting to get to watch a movie.,A line waiting to enter a movie.,0.31560397148132324
common_voice_pt_19777630,"Uau, olha o quão profundo é esse canyon!","Wow, look how deep is this canyon!",Wow! Look how deep this can is!,0.36803197860717773
common_voice_pt_19777631,Um homem em uma máscara na parte de trás de um veículo de serviço,A man in a mask in the back of a service vehicle.,A man in a mask on the back of a service vehicle.,0.4649374485015869
common_voice_pt_19787425,Um homem se senta e lê o jornal em um tapete de lavanderia.,A man sits and reads the newspaper on a laundry rug.,A man sits down and reads the newspaper on a laundry carpet.,0.5850830078125
common_voice_pt_19787424,Uma pessoa em um longo corredor está andando,A person is walking in a long corridor.,A person in a long corridor is walking.,0.4383540153503418
common_voice_pt_19787421,O lançamento aéreo da bomba atômica em Hiroshima teve implicações devastadoras.,The atomic bomb aerial launch in Hiroshima had devastating implications.,The launch of the atomic bomb into Hiroshima had devastating implications.,0.5582773685455322
